,Plasmid,Sample,Replicate,Antibiotic,Project,Species,Vmax_day3,lag_day3,AUC_day3,ODmax_day3,Day.y,AUC,ODmax,Replicate_cntrl,y0,y0_lm,Vmax,lag,r2,Day,Treatment
59,-,Delta6,5,-,RIBO,Ec,"0,00766628677514671","136,414,718,888,843","709,394,999,999,988","0,851",7,"746,459,999,999,994","0,828",6,"0,107","0,0582985051623905","0,0062193843973334","976,386,637,452,116","0,999487876793457",7,problems
60,-,Delta6,5,-,RIBO,Ec,"0,00766628677514671","136,414,718,888,843","709,394,999,999,988","0,851",9,"686,854,999,999,995","0,8",6,"0,114","0,0648977489817623","0,00708330638911614","795,370,803,897,573","0,999637180926144",9,problems
61,-,Delta6,5,-,RIBO,Ec,"0,00766628677514671","136,414,718,888,843",7.09E+14,"0,851",11,"932,574,999,999,993","1,042",6,"0,102","0,032860238174608","0,00962670964754522","117,663,198,954,807","0,999335936480987",11,problems
62,-,Delta6,5,-,RIBO,Ec,"0,00766628677514671","136,414,718,888,843",7.09E+14,"0,851",13,"919,83","1,054",6,"0,107","0,0360904524235993","0,00896364368954341","12,124,539,055,154","0,999808961127224",13,problems
63,-,Delta6,5,-,RIBO,Ec,"0,00766628677514671","136,414,718,888,843","709,394,999,999,988","0,851",15,"101,989,499,999,999","1,114",6,"0,109","0,0495892302643594","0,00861537693476856","914,149,444,423,445","0,998583046281813",15,problems
64,-,Delta6,5,-,RIBO,Ec,"0,00766628677514671","136,414,718,888,843","709,394,999,999,988","0,851",17,"852,969,999,999,991","0,977",6,NA,NA,NA,NA,NA,17,problems
65,-,Delta6,5,-,RIBO,Ec,"0,00766628677514671","136,414,718,888,843","709,394,999,999,988","0,851",19,"927,890,000,000,013","1,033",6,"0,118","0,0687892173094984","0,00730083435145228","739,145,131,890,758","0,997044821249314",19,problems
66,-,Delta6,5,-,RIBO,Ec,"0,00766628677514671","136,414,718,888,843","709,394,999,999,988","0,851",21,"960,140,000,000,001","1,107",6,"0,108","0,049668732643635","0,00782335618408396","99,286,750,543,269","0,99753890228068",21,problems
67,-,MG1656,0,-,RIBO,Ec,NA,NA,1.16E+14,"1,225",1,"866,289,999,999,999","1,049",1,NA,NA,NA,NA,NA,1,problems
68,-,MG1656,0,-,RIBO,Ec,NA,NA,1.16E+14,"1,225",3,"116,419,500,000,001","1,225",1,NA,NA,NA,NA,NA,3,problems
69,-,MG1656,0,-,RIBO,Ec,NA,NA,"116,419,500,000,001","1,225",5,"127,485,500,000,002","1,361",1,NA,NA,NA,NA,NA,5,problems
70,-,MG1656,0,-,RIBO,Ec,NA,NA,"116,419,500,000,001","1,225",7,"131,879,000,000,001","1,353",1,NA,NA,NA,NA,NA,7,problems
71,-,MG1656,0,-,RIBO,Ec,NA,NA,"116,419,500,000,001","1,225",9,"140,522,000,000,001","1,453",1,NA,NA,NA,NA,NA,9,problems
72,-,MG1656,0,-,RIBO,Ec,NA,NA,"116,419,500,000,001","1,225",11,"1431,73","1,407",1,NA,NA,NA,NA,NA,11,problems
73,-,MG1656,0,-,RIBO,Ec,NA,NA,"116,419,500,000,001","1,225",13,"136,623,500,000,003","1,387",1,NA,NA,NA,NA,NA,13,problems
74,-,MG1656,0,-,RIBO,Ec,NA,NA,"116,419,500,000,001","1,225",15,"132,935,000,000,001","1,385",1,NA,NA,NA,NA,NA,15,problems
75,-,MG1656,0,-,RIBO,Ec,NA,NA,"116,419,500,000,001","1,225",17,"126,068,499,999,999","1,306",1,NA,NA,NA,NA,NA,17,problems
76,-,MG1656,0,-,RIBO,Ec,NA,NA,"116,419,500,000,001","1,225",19,"113,014,500,000,001","1,282",1,NA,NA,NA,NA,NA,19,problems
77,-,MG1656,0,-,RIBO,Ec,NA,NA,"116,419,500,000,001","1,225",21,"137,705,000,000,002","1,353",1,NA,NA,NA,NA,NA,21,problems
78,-,MG1656,1,-,RIBO,Ec,"0,010382321958442","28,982,323,530,752","123,985,000,000,001","1,29",1,"987,095,000,000,001","1,1",2,"0,093","0,00942273634582143","0,01120274651426","204,367,202,387,496","0,999502527358884",1,problems
